吃瓜	吃瓜 [吃瓜]
無辜	無辜 （o´・ェ・｀o）
[捂臉]	[捂臉] 🫣 つ﹏⊂
幸福	幸福 o(*￣▽￣*)o
欣慰	欣慰 (╯▽╰)
兇	兇 (*￣(エ)￣) (+(工)+╬)
㖿	㖿 (＾－＾)V
噎	噎 [噎住](*⊙~⊙)
義氣	義氣 ヽ(￣ω￣(￣ω￣〃)ゝ
怨念	怨念 o(一︿一+)o
斬	斬 ˋ(°▽、°)(o(￣▽￣///(斬!!)
振奮	振奮 (o>ε(o>ｕ(≧∩≦)
真好	真好 o(^▽^)o
抓	抓 W(￣_￣)W
自戀	自戀 (◡ᴗ◡✿)
自殺	自殺 …〒_〒…‵ｏ′-一┳═┻︻▄
做夢	做夢 ZZzz…(。-ω-)..ooO((【•:*:~夢~:*:•】))
智障	智障 (◐‿◑)
五筆	五筆 98五筆 86五筆 新世紀五筆
大笑	大笑 😀 😁 😂 🤣 (ಡωಡ) ∠(ᐛ」∠)＿ (≧▽≦) ˳⚆ɞ⚆˳ 😃 😄 🤩 😅 😆 😉 😊 😋 😎 😺 😸 😹
開心	開心 ＼(￣︶￣)／ (◔◡◔) （｡ò∀ó｡） ヾ(◍°∇°◍)ﾉﾞ ๑乛◡乛๑ 蹦躂ヾ(*´▽‘*)ﾉ (●'◡'●)ﾉ ヽ(≧Д≦)ノ (•̀∀•́) o(≧v≦)o~~ (˘•ω•˘) (/≧▽≦/) \(^o^)/ (๑ᵒ̴̶̷͈᷄ᗨᵒ̴̶̷͈᷅) o(*≧▽≦)ツ ヾ(≧▽≦*)o ヾ(´∀`o)+ φ(≧ω≦*)♪ (๑´ㅂ`๑) (≧∀≦)ゞ ε(*´･∀･｀)зﾞ (^&^)/ (ﾟ∀ﾟ)ﾉ♡ 😀 😁 😂 🤣 😃 😄 🤩 😅 😆 😉 😊 😋 😎 😺 😸 😹
快樂	快樂 😀 😁 😂 🤣 😃 😄 🤩 😅 😆 😉 😊 😋 😎 😺 😸 😹
笑	笑 😀 😁 😂 🤣 😃 😄 🤩 😅 😆 😉 😊 😋 😎 😺 😸 😹
笑臉	笑臉 😀 😁 😂 🤣 😃 😄 🤩 😅 😆 😉 😊 😋 😎 😺 😸 😹
笑哭	笑哭 😂 🤣 😹
笑cry	笑cry 😂 🤣 😹
破涕為笑	破涕為笑 😂 🤣 😹
眨眼	眨眼 😉
媚眼	媚眼 😉
酷	酷 😎 🆒
涼爽	涼爽 🆒
餓	餓 😋 🤤
好吃	好吃 😋
美味	美味 😋
可愛	可愛 😊 (๑>؂<๑) (๑•́₃•̀๑) (﹡ˆoˆ﹡) (｡･∀･)ﾉ (๑˙ー˙๑) (๑•ี_เ•ี๑) (ฅ>ω<*ฅ) (˃̶͈̯̜˂̶͈ˊ)︠³ （*＾-＾*） n(*≧▽≦*)n
高興	高興 😊 😀 😁 😃 😄 φ(゜▽゜*)♪
愛你	愛你 😍 😘 🥰 😻 🤟 🤟🏻 🤟🏼 🤟🏽 🤟🏾 🤟🏿
喜歡	喜歡 😗 😙 😚 😍 😘 🥰 (´▽`ʃ♡ƪ)
親	親 😗 😙 😚 😽 💏 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 😘 (*￣3)(ε￣*) (*╯3╰) （づ￣3￣）づ╭❤～ o(*￣3￣)o
